"English","Русский язык","Esperanto"
"I'm ready to order now.","Я готов сделать заказ.","Mi pretas mendi nun"
"We would like to order starters, please.","Мы бы хотели заказать закуски.","Ni ŝatus mendi antaŭmanĝaĵojn, mi petas"
"What's the soup of the day?","Какой сегодня суп дня?","Kio estas la supo de la tago?"
"Is there onion in the soup?","В супе есть лук?","Ĉu estas cepo en la supo?"
"I'll ask the cook.","Я спрошу повара.","Mi demandos la kuiriston"
"I'm sorry, we're out of that.","Извините, у нас оно закончилось.","Pardonu, ni ne plu havas tion"
"We haven't got lobster.","У нас нет омаров.","Ni ne havas omarojn"
"What would you like instead?","Что бы вы хотели вместо этого?","Kion vi ŝatus anstataŭe?"
"I will eat a sandwich.","Я поем сэндвич.","Mi manĝos sandviĉon"
"I want a vegetarian pizza.","Я хочу вегетарианскую пиццу.","Mi volas vegetaran picon"
"Can I have it right away?","Я могу получить его прямо сейчас?","Ĉu mi povas ricevi ĝin tuj?"
"Two hamburgers to take away, please.","Два гамбургера с собой, пожалуйста.","Du hamburgerojn por kunpreni, mi petas"
"How long will it take?","Сколько это займёт?","Kiom da tempo ĝi daŭros?"
"It will take about twenty minutes.","Это займёт около двадцати минут.","Ĝi daŭros ĉirkaŭ dudek minutojn"
"A little more, please.","Ещё немного, пожалуйста.","Ankoraŭ iomete, bonvolu"
"May I have the menu and the wine list, please?","Можно мне меню и винную карту, пожалуйста?","Ĉu mi povus havi la menuon kaj la vinkarton, mi petas?"
"Could I see the dessert menu?","Я могу посмотреть десертное меню?","Ĉu mi povus vidi la desertmenuon?"
"Have you got a children's menu?","У вас есть детское меню?","Ĉu vi havas infanan menuon?"
"Do you serve vegetarian food?","Вы подаёте вегетарианские блюда?","Ĉu vi servas vegetaran manĝaĵon?"
"Is it table service or self-service?","Здесь обслуживают или самообслуживание?","Ĉu oni servas ĉi tie aŭ estas memservo?"
"Today's specials are on the board.","Сегодняшние блюда дня - на доске.","La hodiaŭaj specialaĵoj estas sur la tabulo"
"What can you recommend on the menu?","Что из меню вы бы посоветовали?","Kion vi rekomendas el la menuo?"
"I'll have whatever you recommend.","Я буду то, что вы порекомендуете.","Mi prenos tion, kion vi rekomendas"
"Let me know when you're ready to order.","Дайте мне знать, когда будете готовы заказывать.","Sciigu min, kiam vi estos pretaj mendi"
"Excuse me, we would like to order, please.","Извините, мы бы хотели сделать заказ, пожалуйста.","Pardonu, ni ŝatus mendi, bonvolu"
"I'm sorry but can I change my order?","Простите, но могу я изменить заказ?","Pardonu, sed ĉu mi povas ŝanĝi mian mendon?"
"What's the name of this dish?","Как называется это блюдо?","Kiel nomiĝas ĉi tiu plado?"
"What is the speciality of the house?","Какое здесь фирменное блюдо?","Kio estas la specialaĵo de la domo?"
"I would like to try the best local food.","Я хочу поесть лучшую местную еду.","Mi ŝatus gustumi la plej bonan lokan manĝaĵon"
"I would like a continental breakfast.","Я бы хотел континентальный завтрак.","Mi ŝatus kontinentan matenmanĝon"
"Bring me a triple-decker sandwich and milk, please.","Принесите мне трёхслойный сэндвич и молоко, пожалуйста.","Bonvolu alporti al mi tritavolan sandviĉon kaj lakton"
"For my starter I'll have the stuffed mushrooms.","На первое я буду суп.","Kiel antaŭmanĝaĵon mi prenos la farĉitajn fungojn"
"How do you like your soup? With noodles or rice?","Как вам нравится ваш суп? С лапшой или рисом?","Kiel vi preferas vian supon? Kun nudeloj aŭ rizo?"
"A green salad with French dressing.","Зелёный салат с французской заправкой.","Verda salato kun franca saŭco"
"For my main course I'll have the steak.","В качестве основного блюда я буду стейк.","Kiel ĉefpladon mi prenos la stekon"
"Medium rare, please.","Средней прожарки, пожалуйста.","Duonkruda, mi petas"
"I would like my meat well done.","Я бы хотел хорошо прожаренное мясо.","Mi ŝatus bone rostitan viandon"
"Does the meal come with vegetables?","Это блюдо подаётся с овощами?","Ĉu la manĝaĵo venas kun legomoj?"
"Could you please prepare the dish with no salt?","Не могли бы вы, пожалуйста, приготовить это блюдо без соли?","Ĉu vi povus prepari la pladon sen salo?"
"Waiter!","Официант!","Kelnero!"
"Salt and vinegar.","Соль и уксус.","Salo kaj vinagro"
"How does it taste?","Как вам на вкус?","Kiel ĝi gustas al vi?"
"It's delicious.","Это восхитительно.","Ĝi estas bongusta"
"I like Indian food.","Мне нравится индийская еда.","Mi ŝatas hindan manĝaĵon"
"Is this food Halal?","Эта еда халяльная?","Ĉu ĉi tiu manĝaĵo estas halala?"
"Do you like pizza?","Тебе нравится пицца?","Ĉu vi ŝatas picon?"
"I love cheese pizza.","Я люблю пиццу с сыром.","Mi amas fromaĝan picon"
"Enjoy your meal!","Приятного аппетита!","Bonan apetiton!"
"Pass the salt, please.","Передай соль, пожалуйста.","Bonvolu transdoni la salon"
"May I smoke here?","Мне можно здесь курить?","Ĉu mi povas fumi ĉi tie?"
"Where are the toilets?","Где уборная?","Kie estas la necesejoj?"
"What is the Wi-Fi password?","Какой пароль от Wi-Fi?","Kio estas la pasvorto por la Wi-Fi?"
"Your food is almost ready.","Ваша еда почти готова.","Via manĝaĵo estas preskaŭ preta"
"I think it tastes good.","Думаю, это вкусно.","Mi pensas, ke ĝi gustas bone"
"We like it very much.","Нам очень нравится.","Ĝi tre plaĉas al ni"
"This is my favourite.","Это моя любимая.","Ĉi tio estas mia plej ŝatata"
"May I have some butter?","Можно мне сливочное масло?","Ĉu mi povus ricevi iom da butero?"
"Some more bread, please.","Ещё хлеба, пожалуйста.","Ankoraŭ iom da pano, mi petas"
"Could you heat this up?","Не могли бы вы её подогреть?","Ĉu vi povus varmigi ĉi tion?"
"I haven't finished eating.","Я ещё не закончила есть.","Mi ankoraŭ ne finis manĝi"
"How about some dessert?","Как насчёт десерта?","Kiel pri iom da deserto?"
"That's enough, thanks.","Достаточно, спасибо.","Sufiĉas, dankon"
"How do you eat this?","Как его едят?","Kiel oni manĝas ĉi tion?"
"Can you use the chopsticks?","Ты умеешь пользоваться палочками?","Ĉu vi scipovas uzi manĝobastonetojn?"
"I'm allergic to wheat.","У меня аллергия на пшеницу.","Mi estas alergia al tritiko"
"Would you like anything else?","Вы бы хотели что-нибудь ещё?","Ĉu vi dezirus ion alian?"
"I'd like some more fried potatoes.","Я бы хотел ещё картошки-фри.","Mi ŝatus ankoraŭ iom da fritoj"
"One more order of rice, please.","Ещё одну порцию риса, пожалуйста.","Ankoraŭ unu porcion da rizo, mi petas"
"My dad likes vegetable curry.","Моему папе нравится овощное карри.","Mia paĉjo ŝatas legoman kareon"
"He's coming soon.","Он скоро придёт.","Li baldaŭ venos"
"Which is better: spaghetti or chicken?","Что лучше: спагетти или цыплёнок?","Kio estas pli bona: spagetoj aŭ kokido?"
"Yeah, they like calzone, too.","Да, им тоже нравится кальцоне.","Jes, ili ankaŭ ŝatas kalconon"
"When will our food be ready?","Когда наша еда будет готова?","Kiam nia manĝaĵo estos preta?"
"It will be about a ten-minute wait.","Нужно будет подождать около десяти минут.","Estos ĉirkaŭ dekminuta atendo"
"Would you like any coffee or dessert?","Вы бы хотели кофе или десерт?","Ĉu vi ŝatus kafon aŭ deserton?"
"We would like to order some dessert, please.","Мы бы хотели заказать какой-нибудь десерт, пожалуйста.","Ni ŝatus mendi deserton, bonvolu"
"Do you ever eat fast food?","Ты когда-нибудь ешь фастфуд?","Ĉu vi iam manĝas rapidmanĝaĵon?"
"I'm allergic to dairy products.","У меня аллергия на молочные продукты.","Mi estas alergia al laktaĵoj"
"I'm severely allergic to nuts.","У меня сильная аллергия на орехи.","Mi estas forte alergia al nuksoj"
"Can you pass the sugar, please?","Пожалуйста, ты не мог бы передать сахар?","Ĉu vi povus transdoni la sukeron, mi petas?"
"Could I have a clean plate?","Можно мне чистую тарелку?","Ĉu mi povus ricevi puran teleron?"
"The fork is under the table.","Вилка - под столом.","La forko estas sub la tablo"
"Where can I feed the baby?","Где я могу покормить ребёнка?","Kie mi povas nutri la bebon?"
"What time does the kitchen close?","Во сколько закрывается кухня?","Je kioma horo fermiĝas la kuirejo?"
"The bill, please.","Счёт, пожалуйста.","La kalkulon, mi petas"
"Here is your bill.","Вот ваш счёт.","Jen via kalkulo"
"Let's split it.","Давай разделим его.","Ni dividu ĝin"
"Keep the change.","Сдачи не надо.","Gardu la restmonon"
"That was very tasty.","Было очень вкусно.","Tio estis tre bongusta"
"Could we pay, please?","Могли бы мы заплатить, пожалуйста?","Ĉu ni povus pagi, bonvole?"
"Can we pay separately?","Мы можем заплатить раздельно?","Ĉu ni povas pagi aparte?"
"I forgot my wallet.","Я забыл кошелёк.","Mi forgesis mian monujon"
"I have already paid.","Я уже заплатила.","Mi jam pagis"
"I left a tip.","Я оставила чаевые.","Mi lasis trinkmonon"
"Was everything all right?","Всё было в порядке?","Ĉu ĉio estis en ordo?"
"Thanks, that was delicious.","Спасибо, было очень вкусно.","Dankon, tio estis bongusta"
"That was excellent.","Это было превосходно.","Tio estis bonega"
"Could I have the bill, please?","Можно мне счёт, пожалуйста?","Ĉu mi povus ricevi la kalkulon, mi petas?"
"It's altogether.","Я оплачу счёт полностью.","Ĉio kune"
"I'll pay for the dinner.","Я заплачу за ужин.","Mi pagos por la vespermanĝo"
"He will pay the bill.","Он оплатит счёт.","Li pagos la kalkulon"
"Could I have a receipt?","Я могу получить чек?","Ĉu mi povus ricevi kvitancon?"
"Do you usually leave a tip?","Ты обычно оставляешь чаевые?","Ĉu vi kutime lasas trinkmonon?"
"Would you mind telling me who's the cook?","Не могли бы вы сказать мне, кто повар?","Ĉu vi bonvolus diri al mi, kiu estas la kuiristo?"
"Give my compliments to the chef.","Поблагодарите от меня шеф-повара.","Transdonu miajn komplimentojn al la ĉefkuiristo"
"It was more than I could eat.","Порция была больше, чем я смог съесть.","Ĝi estis pli ol mi povis manĝi"
"Does the bill include the service charge?","Сервисный сбор включён в счёт?","Ĉu la kalkulo inkluzivas la servan pagon?"
"Is tipping common in your country?","В твоей стране принято оставлять чаевые?","Ĉu oni kutime donas trinkmonon en via lando?"
"We are paying separately.","Мы платим раздельно.","Ni pagas aparte"
"Let me pay my share.","Позволь мне заплатить за свою долю.","Lasu min pagi mian parton"
"I am paying for everyone.","Я плачу за всех.","Mi pagas por ĉiuj"
"This gentleman will pay for everything.","За всё заплатит этот господин.","Ĉi tiu sinjoro pagos por ĉio"
"Who pays when you go out for dinner?","Кто платит, когда вы ходите поужинать?","Kiu pagas, kiam vi eliras por vespermanĝi?"
"Put it on my bill, please.","Запишите это на мой счёт, пожалуйста.","Bonvolu skribi tion sur mian konton"
"I believe the bill is added up wrong.","Мне кажется, счёт неправильно подытожен.","Mi kredas, ke la kalkulo estas malĝuste sumigita"
"It isn't fresh.","Это несвежее.","Ĝi ne estas freŝa"
"It is too spicy.","Это слишком острое.","Ĝi estas tro spica"
"This isn't clean.","Она нечистая.","Ĉi tio ne estas pura"
"I didn't order this.","Я это не заказывал.","Mi ne mendis ĉi tion"
"What's wrong, sir?","Что случилось, сэр?","Kio okazis, sinjoro?"
"This is too cold.","Оно слишком холодное.","Ĉi tio estas tro malvarma"
"It's too hot.","Это слишком горячее.","Ĝi estas tro varma"
"This is too salty.","Он слишком солёный.","Ĉi tio estas tro sala"
"This is too tough.","Оно слишком жёсткое.","Ĝi estas tro malmola"
"My drink tastes strange.","У моего напитка странный вкус.","Mia trinkaĵo gustas strange"
"We're leaving.","Мы уходим.","Ni foriras"
"It is taking too long.","Уже слишком долго.","Ĝi daŭras tro longe"
"We can't wait any longer.","Мы больше не можем ждать.","Ni ne povas plu atendi"
"This is not my order.","Это не мой заказ.","Ĉi tio ne estas mia mendo"
"I ordered roast turkey.","Я заказывал жареную индейку.","Mi mendis rostitan meleagron"
"This is overcooked.","Оно пережарено.","Ĉi tio estas trokuirita"
"I can't eat this.","Я не могу это есть.","Mi ne povas manĝi ĉi tion"
"This drink is not cold.","Этот напиток не холодный.","Ĉi tiu trinkaĵo ne estas malvarma"
"This wine has corked.","Это вино отдаёт пробкой.","Ĉi tiu vino odoras je korko"
"That smells bad.","Пахнет неприятно.","Tio odoras malbone"
"Let me change it for you.","Позвольте, я вам это поменяю.","Permesu al mi ŝanĝi ĝin por vi"
"Would you please hurry?","Не могли бы вы поторопиться, пожалуйста?","Ĉu vi povus rapidi, mi petas?"
"We ordered more than thirty minutes ago.","Мы сделали заказ больше тридцати минут назад.","Ni mendis antaŭ pli ol tridek minutoj"
"My order hasn't come yet.","Мой заказ ещё не принесли.","Mia mendaĵo ankoraŭ ne alvenis"
"We've been waiting a long time.","Мы долго ждали.","Ni longe atendis"
"Is our meal on its way?","Нашу еду уже несут?","Ĉu nia manĝaĵo jam venas?"
"We have been waiting for over an hour.","Мы прождали больше часа.","Ni atendis pli ol horon"
"Thank you for your patience.","Спасибо вам за терпение.","Dankon pro via pacienco"
"Your order will be on your table within 5 minutes.","Ваш заказ будет у вас на столе через 5 минут.","Via mendo estos sur via tablo ene de 5 minutoj"
"I ordered my drink without ice.","Я заказывала напиток без льда.","Mi mendis mian trinkaĵon sen glacio"
"There's one dish missing.","Не хватает одного блюда.","Mankas unu plado"
"This is not cooked enough.","Она не до конца пропеклась.","Ĝi ne estas sufiĉe bakita"
"I really apologise for this mistake.","Приношу искренние извинения за эту ошибку.","Mi sincere pardonpetas pro ĉi tiu eraro"
"I would like to make a complaint.","Я бы хотела подать жалобу.","Mi ŝatus fari plendon"
"A black tea, please.","Чашку чёрного чая, пожалуйста!","Nigran teon, mi petas"
"Who's next?","Кто следующий?","Kiu sekvas?"
"Whisky and water, please.","Виски и воду, пожалуйста.","Viskion kaj akvon, mi petas"
"With ice.","Со льдом.","Kun glacio"
"We're in a hurry.","Мы спешим.","Ni hastas"
"A coffee, please.","Чашку кофе, пожалуйста.","Kafon, mi petas"
"With cream.","Со сливками.","Kun kremo"
"With sugar, please.","С сахаром, пожалуйста.","Kun sukero, mi petas"
"Large or small?","Большой или маленький?","Granda aŭ malgranda?"
"I'd like a local beer.","Я бы хотел местное пиво.","Mi ŝatus lokan bieron"
"Nachos, please.","Начос, пожалуйста.","Naĉojn, mi petas"
"Do you serve food?","Вы подаёте еду?!","Ĉu vi servas manĝaĵon?"
"Do you smoke?","Вы курите?","Ĉu vi fumas?"
"No, I don't smoke.","Нет, я не курю.","Ne, mi ne fumas"
"I've given up.","Я бросил.","Mi rezignis"
"Would you like anything to eat?","Вы бы хотели что-нибудь поесть?","Ĉu vi ŝatus ion manĝi?"
"Same as usual.","То же, что и обычно.","Same kiel kutime"
"Have you got any sandwiches?","У вас есть сэндвичи?","Ĉu vi havas sandviĉojn?"
"Have you got any hot food?","У вас есть какая-нибудь горячая еда?","Ĉu vi havas ian varman manĝaĵon?"
"What's in it?","Что туда входит?","Kio estas en ĝi?"
"Is it spicy?","Это острое?","Ĉu ĝi estas pika?"
"Would you like a cigarette?","Ты бы хотел сигарету?","Ĉu vi ŝatus cigaredon?"
"Have you got a light?","Огонька не найдётся?","Ĉu vi havas fajrilon?"
"I want some apple juice.","Я хочу яблочный сок.","Mi volas pomsukon"
"Please give me a bottle of beer.","Пожалуйста, дайте мне бутылку пива.","Bonvolu doni al mi botelon da biero"
"Whose round is it?","Чья очередь платить?","Kies vico estas pagi?"
"It's your round.","Твоя очередь.","Estas via vico"
"The next round is on me.","Следующий круг за мой счёт.","La sekvan rondon mi pagas"
"Last orders!","Последние заказы!","Lastaj mendoj!"
"I've got a hangover.","У меня похмелье.","Mi havas postebriecon"
"I'm never going to drink again!","Я никогда больше не буду пить!","Mi neniam plu trinkos!"
"A cup of coffee, please. Strong, but not bitter.","Чашку кофе, пожалуйста. Крепкий, но не горький.","Tason da kafo, mi petas. Fortan, sed ne amaran"
"Make it a double, please.","Сделайте двойной, пожалуйста.","Faru ĝin duobla, mi petas"
"A glass of tomato juice.","Стакан томатного сока.","Glaso da tomata suko"
"Are you still serving drinks?","Ещё можно заказать напитки?","Ĉu vi ankoraŭ servas trinkaĵojn?"
"Let me buy you a drink.","Позвольте мне купить вам напиток.","Permesu al mi aĉeti trinkaĵon por vi"
"What's the cocktail of the day?","Какой сегодня коктейль дня?","Kiu estas la koktelo de la tago?"
"Three shots of tequila, please.","Три стопки текилы, пожалуйста.","Tri glasetojn da tekilo, bonvolu"
"Would you like draught or bottled beer?","Вы бы хотели разливное или бутылочное пиво?","Ĉu vi ŝatus barelan aŭ botelan bieron?"
"I would like a bottle of white wine.","Я бы хотел бутылку белого вина.","Mi ŝatus botelon da blanka vino"
"I'd like a bottle of rum.","Я бы хотела бутылку рома.","Mi ŝatus botelon da rumo"
"That's too much.","Слишком много.","Tio estas tro multe"
"Do you also have something to eat?","У вас есть и что-нибудь поесть?","Ĉu vi havas ankaŭ ion por manĝi?"
"What sort of sandwiches have you got?","Какие у вас есть сэндвичи?","Kiajn sandviĉojn vi havas?"
"I'd like to order chips and a milkshake.","Я бы хотела заказать картофель-фри и молочный коктейль.","Mi ŝatus mendi fritojn kaj laktoskuaĵon"
"A packet of crisps, please.","Пачку чипсов, пожалуйста.","Paketon da krispaĵoj, mi petas"
"What flavour would you like?","С каким вкусом вы бы хотели?","Kiun guston vi ŝatus?"
"I would like a packet of cigarettes.","Я бы хотел пачку сигарет.","Mi ŝatus paketon da cigaredoj"
"Where's the Gents?","Где мужской туалет?","Kie estas la vira necesejo?"
"I like fried sole.","Мне нравится жареный морской язык.","Mi ŝatas frititan soleon"
"I don't like liver.","Я не люблю печень.","Mi ne ŝatas hepaton"
"I don't eat meat.","Я не ем мясо.","Mi ne manĝas viandon"
"Seafood soup, please.","Суп из морепродуктов, пожалуйста.","Marfruktan supon, mi petas"
"I like sirloin steak.","Мне нравится стейк из оковалка.","Mi ŝatas sirlojnan bifstekon"
"Do you like shrimps?","Тебе нравятся креветки?","Ĉu vi ŝatas salikokojn?"
"She likes rabbit too.","Ей тоже нравится кролик.","Ŝi ankaŭ ŝatas kuniklon"
"I don't eat fish.","Я не ем рыбу.","Mi ne manĝas fiŝon"
"I don't eat pork.","Я не ем свинину.","Mi ne manĝas porkaĵon"
"I'll have the lamb.","Я буду ягнёнка.","Mi prenos la ŝafidaĵon"
"I'll have the goose.","Я буду гуся.","Mi prenos la anseron"
"I'd like the pheasant.","Я бы хотела фазана.","Mi ŝatus la fazanon"
"Do you like smoked meat?","Тебе нравится копчёное мясо?","Ĉu vi ŝatas fumitan viandon?"
"I'll have the roast beef.","Я буду ростбиф.","Mi prenos la rostbifon"
"I'll have the fried squid.","Я буду жареного кальмара.","Mi prenos la frititan kalmaron"
"I'll have the smoked trout.","Я буду копчёную форель.","Mi prenos la fumitan truton"
"She'll have some ham.","Она будет ветчину.","Ŝi prenos iom da ŝinko"
"He will have the pork.","Он будет свинину.","Li prenos la porkaĵon"
"I'd like the grilled salmon.","Я бы хотел лосося на гриле.","Mi ŝatus la grilitan salmon"
"He'd like the chicken breast.","Он бы хотел куриную грудку.","Li ŝatus la kokidan bruston"
"We would like some oysters.","Мы бы хотели устрицы.","Ni ŝatus ostrojn"
"They would like some pork ribs.","Они бы хотели свиные рёбрышки.","Ili ŝatus porkajn ripojn"
"I want the roast mackerel.","Я хочу жареную скумбрию.","Mi volas la rostitan skombron"
"He'd like the duck for dinner.","Он хочет на ужин утку.","Li ŝatus anason por la vespermanĝo"
"He prefers salted cod.","Он предпочитает солёную треску.","Li preferas salitan moruon"
"I'm sorry, but the shrimp soup is finished.","Извините, но суп с креветками закончился.","Pardonu, sed la salikoka supo finiĝis"
"I'd like a tuna sandwich, please.","Я хочу сэндвич с тунцом, пожалуйста.","Mi ŝatus sandviĉon kun tinuso, mi petas"
"Try the steak too!","Попробуй и ты этот стейк!","Provu ankaŭ vi la stekon!"
"I'll have the quail for lunch.","Я буду на обед перепёлку.","Mi prenos la koturnon por la tagmanĝo"
"I'll have the chicken soup, please.","Я буду куриный суп, пожалуйста.","Mi prenos la kokidan supon, bonvolu"
"I'll have the octopus, please.","Я буду осьминога, пожалуйста.","Mi prenos la polpon, mi petas"
"I'll have the rib of beef, please.","Я буду говяжье рёбрышко, пожалуйста.","Mi prenos la bovan ripon, mi petas"
"I'll have the veal cutlet for dinner.","Я буду на ужин отбивную из телятины.","Mi prenos bovidan kotleton por la vespermanĝo"
"I'll have some boiled crabs, please.","Я буду варёных крабов, пожалуйста.","Mi prenos bolitajn krabojn, mi petas"
"He will have a grilled carp.","Он будет карпа на гриле.","Li havos grilitan karpon"
"We'll have some chicken wings, please.","Мы будем куриные крылышки, пожалуйста.","Ni prenos kokidajn flugilojn, bonvolu"
"I'll try the shark next time.","Я попробую акулу в следующий раз.","Mi provos la ŝarkon venontfoje"
"I'd like the raw herring, please.","Я бы хотел селёдку, пожалуйста.","Mi ŝatus la krudan haringon, mi petas"
"They would like some boiled crayfish.","Они бы хотели варёных раков.","Ili ŝatus bolitajn kankrojn"
"How would you like your steak?","Стейк какой прожарки вы бы хотели?","Kiel vi dezirus vian stekon?"
"What is the best crab soup recipe?","Какой лучший рецепт крабового супа?","Kio estas la plej bona recepto por kraba supo?"
"Sorry, we haven't got any more lobster left.","Простите, у нас больше не осталось омаров.","Pardonu, ni ne plu havas omarojn"
"Do you like peaches?","Тебе нравятся персики?","Ĉu vi ŝatas persikojn?"
"I like avocado.","Мне нравится авокадо.","Mi ŝatas avokadon"
"He doesn't like plums.","Ему не нравятся сливы.","Li ne ŝatas prunojn"
"I'll have some bananas.","Я буду бананы.","Mi prenos bananojn"
"I like lemons.","Мне нравятся лимоны.","Mi ŝatas citronojn"
"She likes olives.","Ей нравятся оливки.","Ŝi ŝatas olivojn"
"I like mango too.","Мне тоже нравится манго.","Ankaŭ mi ŝatas mangon"
"I'd like a slice of apple pie.","Я бы хотела кусочек яблочного пирога.","Mi ŝatus pecon da poma torto"
"He'd like some grapes.","Он бы хотел виноград.","Li ŝatus vinberojn"
"I'll have some kiwis.","Я буду киви.","Mi prenos kivifruktojn"
"This watermelon is not ripe.","Этот арбуз неспелый.","Ĉi tiu akvomelono ne estas matura"
"I like coconut.","Мне нравится кокос.","Mi ŝatas kokoson"
"I don't like walnuts.","Мне не нравятся грецкие орехи.","Mi ne ŝatas juglandojn"
"He likes dried fruits.","Ему нравятся сухофрукты.","Li ŝatas sekigitajn fruktojn"
"She does not like lime.","Ей не нравится лайм.","Ŝi ne ŝatas limon"
"She'll have some cherries.","Она будет вишню.","Ŝi prenos iom da ĉerizoj"
"We'll have some oranges.","Мы будем апельсины.","Ni manĝos oranĝojn"
"I'd like the fruit salad.","Я хотел бы фруктовый салат.","Mi ŝatus la fruktan salaton"
"I'd like some apricot jam.","Я бы хотел абрикосовый джем.","Mi ŝatus iom da abrikota konfitaĵo"
"We would like some pears.","Мы бы хотели груши.","Ni ŝatus kelkajn pirojn"
"Is the pineapple fresh or tinned?","Ананас свежий или консервированный?","Ĉu la ananaso estas freŝa aŭ konservita?"
"I prefer baked pears.","Я предпочитаю запечённые груши.","Mi preferas bakitajn pirojn"
"I prefer blackcurrant jelly.","Я предпочитаю желе из чёрной смородины.","Mi preferas nigrariban ĝeleon"
"They prefer roasted and salted almonds.","Они предпочитают жареный и солёный миндаль.","Ili preferas rostitajn kaj salitajn migdalojn"
"I'll have a raspberry ice cream for dessert.","Я буду малиновое мороженое на десерт.","Mi prenos framban glaciaĵon kiel deserton"
"She'll have a blueberry tart.","Она будет черничный пирог.","Ŝi prenos mirtelan torton"
"We will have two cranberry muffins.","Мы будем два клюквенных кекса.","Ni prenos du kranberajn mufinojn"
"She will have a grapefruit pie with ice cream.","Она будет грейпфрутовый пирог с мороженым.","Ŝi prenos grapfruktan kukon kun glaciaĵo"
"I'd like some strawberries.","Я бы хотела клубнику.","Mi ŝatus fragojn"
"I'd like some caramelized figs.","Я бы хотела карамелизованный инжир.","Mi ŝatus iom da karamelizitaj figoj"
"I'd like some unsalted groundnuts.","Я бы хотела несолёный арахис.","Mi ŝatus iom da sensalaj arakidoj"
"She would like a slice of apple strudel.","Она бы хотела кусочек яблочного штруделя.","Ŝi ŝatus pecon da poma strudelo"
"They would like some mandarins.","Они бы хотели мандаринов.","Ili ŝatus kelkajn mandarinojn"
"Cut the melon into thick slices.","Порежьте дыню на толстые ломтики.","Tranĉu la melonon en dikajn tranĉaĵojn"
"Do you like radishes?","Тебе нравится редис?","Ĉu vi ŝatas rafanojn?"
"She likes asparagus.","Ей нравится спаржа.","Ŝi ŝatas asparagojn"
"I don't like onions.","Мне не нравится лук.","Mi ne ŝatas cepojn"
"I'll have the vegetable stew.","Я буду овощное рагу.","Mi prenos la legoman stufaĵon"
"I like celery.","Мне нравится сельдерей.","Mi ŝatas celerion"
"I like garlic too.","Мне тоже нравится чеснок.","Mi ankaŭ ŝatas ajlon"
"She doesn't like pumpkin.","Ей не нравится тыква.","Ŝi ne ŝatas kukurbon"
"I'll have some carrots.","Я буду морковь.","Mi prenos karotojn"
"He will have some tomatoes.","Он будет помидоры.","Li havos kelkajn tomatojn"
"I prefer cauliflower to broccoli.","Я предпочитаю цветную капусту брокколи.","Mi preferas florbrasikon al brokolo"
"Do you like mushroom soup?","Тебе нравится грибной суп?","Ĉu vi ŝatas fungan supon?"
"I like potato soup.","Мне нравится картофельный суп.","Mi ŝatas terpoman supon"
"I like sweet pepper.","Мне нравится сладкий перец.","Mi ŝatas paprikon"
"I don't like aubergine.","Мне не нравится баклажан.","Mi ne ŝatas melongenon"
"I'll have some cabbage too.","Я тоже буду капусту.","Mi ankaŭ prenos brasikon"
"I will have some spinach.","Я буду шпинат.","Mi prenos spinacon"
"She will have the Asian vegetable broth.","Она будет азиатский овощной бульон.","Ŝi prenos la azian legoman buljonon"
"I'd like some sweetcorn.","Я бы хотел кукурузу.","Mi ŝatus iom da dolĉa maizo"
"I'd like some pickled cucumbers.","Я бы хотел солёных огурцов.","Mi ŝatus peklitajn kukumojn"
"Let's share this lettuce sandwich.","Давай съедим этот сэндвич с салатом напополам.","Ni dividu ĉi tiun sandviĉon kun laktuko"
"Don't use too much chilli.","Не кладите слишком много чили.","Ne uzu tro multe da ĉilio"
"I'll have some tomato soup, please.","Я хочу томатный суп, пожалуйста.","Mi prenos tomatsupon, bonvolu"
"I'd like the French onion soup.","Я бы хотела французский луковый суп.","Mi ŝatus la francan cepan supon"
"I'd like the breaded courgette.","Я бы хотела цукини в панировке.","Mi ŝatus la panitan zukinon"
"I'd like the beetroots with goat cheese, please.","Я бы хотел свёклу с козьим сыром, пожалуйста.","Mi ŝatus la betojn kun kapra fromaĝo, mi petas"
"They would like some cucumbers.","Они хотели бы огурцы.","Ili volus kelkajn kukumojn"
"I think I'll have the pumpkin soup.","Думаю, я буду тыквенный суп.","Mi pensas, ke mi prenos la kukurban supon"
"I'll have the mushrooms with soya sauce.","Я буду грибы с соевым соусом.","Mi prenos la fungojn kun soja saŭco"
"He'll have the braised carrots and chickpeas.","Он будет тушёную морковь и нут.","Li prenos la brasitajn karotojn kaj kikeron"
"I like mint.","Мне нравится мята.","Mi ŝatas menton"
"I'll try tofu.","Я попробую тофу.","Mi provos tofuon"
"Pasta, please.","Пасту, пожалуйста.","Pastaĵon, mi petas"
"He prefers white pepper.","Он предпочитает белый перец.","Li preferas blankan pipron"
"He likes basil.","Ему нравится базилик.","Li ŝatas bazilion"
"She likes ginger too.","Ей тоже нравится имбирь.","Ankaŭ ŝi ŝatas zingibron"
"We all like vanilla.","Всем нам нравится ваниль.","Ni ĉiuj ŝatas vanilon"
"I can't eat wheat.","Мне нельзя пшеницу.","Mi ne povas manĝi tritikon"
"I'll have some noodles.","Я буду лапшу.","Mi prenos nudelojn"
"Don't use rosemary.","Не используйте розмарин.","Ne uzu rozmarenon"
"I like sesame bread too.","Мне тоже нравится хлеб с кунжутом.","Mi ankaŭ ŝatas sesampanon"
"He likes capers.","Ему нравятся каперсы.","Li ŝatas kaperojn"
